[INFO] 2025-12-16 20:57:31,506 basehttp 6504 17184 - "POST /accounts/login/ HTTP/1.1" 200 46749
[INFO] 2025-12-16 20:57:31,586 basehttp 6504 17184 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:57:31,622 basehttp 6504 17184 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:02,504 autoreload 2712 18600 - Watching for file changes with StatReloader
[INFO] 2025-12-16 20:58:02,759 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:02,773 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:04,770 basehttp 2712 14464 - "GET / HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:04,792 basehttp 2712 14464 - "GET /accounts/login/?next=/ HTTP/1.1" 200 46499
[INFO] 2025-12-16 20:58:05,152 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:05,217 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:16,983 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:16,991 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:18,672 basehttp 2712 14464 - "POST /accounts/login/?next=/ HTTP/1.1" 200 46750
[INFO] 2025-12-16 20:58:18,726 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:18,753 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:31,981 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:31,986 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:33,980 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:33,990 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:46,981 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:46,986 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:58:48,981 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:58:48,986 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:59:01,980 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:59:01,987 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:59:03,983 basehttp 2712 14464 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:59:03,991 basehttp 2712 14464 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 20:59:54,550 autoreload 19280 23420 - Watching for file changes with StatReloader
[INFO] 2025-12-16 20:59:56,662 basehttp 19280 10616 - "GET / HTTP/1.1" 302 0
[INFO] 2025-12-16 20:59:56,685 basehttp 19280 10616 - "GET /accounts/login/?next=/ HTTP/1.1" 200 46499
[INFO] 2025-12-16 20:59:56,885 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 20:59:56,966 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:00:03,984 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:00:03,988 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:00:03,993 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:00:04,001 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:00:11,897 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:00:11,907 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:00:12,078 basehttp 19280 20544 - "POST /accounts/login/?next=/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:00:12,236 basehttp 19280 20544 - "GET / HTTP/1.1" 200 48925
[INFO] 2025-12-16 21:00:12,346 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:00:24,787 basehttp 19280 20544 - "GET /notifications/ HTTP/1.1" 200 48142
[INFO] 2025-12-16 21:00:24,882 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:00:29,142 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:00:34,385 basehttp 19280 20544 - "GET /tickets/create/ HTTP/1.1" 200 80516
[INFO] 2025-12-16 21:00:34,460 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:00:49,522 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:01:04,005 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:01:04,038 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:01:04,461 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:01:19,561 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:01:34,462 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:01:49,543 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:04,014 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:04,051 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:04,462 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:19,504 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
